# 1:x 2:y 3:z 4:vx 5:vy 6:vz
-2.234738532041586609e+11 -6.653835567553786621e+11 2.207824614678355408e+11 -9.213984570206586966e+01 -2.375991462429896615e+02 1.419924311138002793e+02
5.858208217649388000e+16 -1.103009535405160000e+16 5.750420611326800800e+16 -4.681212991105104238e+07 5.108941103933752328e+07 1.896236135746139043e+05
1.935254858458676800e+17 5.266742754129948800e+17 2.248340525458648320e+17 5.975265559387292713e+07 1.687286783693903685e+08 7.363578605846832693e+07
-1.568803418531708160e+17 -8.397052773680836800e+16 1.685716473127950400e+17 -5.905338050079055876e+07 -2.785974630169292167e+07 2.554061706308041140e+07
1.459312308852603520e+17 -1.443006091631404160e+17 2.192417168626528000e+17 2.505257774370995909e+07 -3.076149639554136619e+07 4.175670533389565349e+07
-7.547809899300715200e+16 1.188239413813979360e+17 1.428741692690943040e+17 -2.653735338751964644e+07 5.163851579024160653e+07 8.654193643190508708e+06
-5.048575350405560800e+16 5.026880992098133600e+16 1.436769242337901600e+17 -1.180792973574530706e+07 3.100518849193742871e+07 -1.355519866091583110e+07
-2.223586842133630400e+16 5.922755531453016000e+16 7.374622463105123200e+16 -3.322352065998840332e+07 1.500483458236878552e+07 -3.763993470367049426e+07
3.658651889747713920e+17 -2.625031789735895680e+17 -1.987351176869302528e+18 1.223466487463734448e+08 -8.693629724438008666e+07 -6.619122848934844732e+08
3.112558329417022800e+16 1.681019264247074240e+17 -8.858297022457240000e+16 3.761719189503019676e+06 3.758007003637465835e+07 1.210122548552834615e+07
-6.070947257039581000e+15 1.240346725356165600e+17 -2.075749512973490000e+16 1.240221632928477041e+07 5.549408964101734757e+07 1.932284918520950247e+06
9.635608251046906000e+15 1.743335383144374200e+16 -5.095673968895533000e+15 1.865524263749009073e+08 -2.626444137009447068e+07 4.244741480925969034e+07
3.448490316994761600e+16 8.056751157489921000e+15 4.855948224442435200e+16 -2.743607777695110813e+07 5.806373166003716737e+07 -1.894722543522656336e+07
1.280479620893666600e+16 -5.299031670344235200e+16 -4.134409533211825600e+16 3.441441804956321418e+07 -3.610141468346469104e+06 -8.880490759690099955e+07
